Name,Breed,Weight
Abby,Sphinx,6.4
Annie,Burmese,7.6
Ash,Manx,7.8
Athena,Manx,8.9
Baby,Tabby,6.9
Bagheera,Sphinx,6.3
Bear,Tabby,9.0
Bella,Siamese,7.9
Belle,Manx,8.2
Binx,Tabby,8.3
Blue,Siamese,7.6
Bob,Sphinx,6.7
Boo,Sphinx,9.1
Boots,Persian,6.2
Buddy,Burmese,9.8
Calvin,Tabby,6.0
Charlie,Tabby,9.3
Chloe,Burmese,6.0
Cleo,Burmese,7.7
Clyde,Burmese,7.5
Coco,Tabby,6.9
Cooper,Persian,8.9
Daisy,Burmese,9.9
Ella,Sphinx,6.9
Emma,Burmese,6.8
Fiona,Burmese,9.8
Frank,Persian,8.0
Frankie,Persian,8.9
George,Manx,7.2
Ginger,Persian,9.2
Gizmo,Siamese,7.3
Gus,Tabby,6.3
Harley,Siamese,9.0
Hazel,Siamese,8.4
Izzy,Burmese,7.0
Jack,Siamese,6.9
Jackson,Sphinx,6.5
Jasmine,Burmese,7.3
Jax,Tabby,8.4
Joey,Sphinx,9.2
Kali,Sphinx,6.2
Kitten,Tabby,9.3
Kitty,Sphinx,7.6
Layla,Burmese,6.7
Leila,Manx,9.1
Leo,Persian,6.2
Lilly,Siamese,8.6
Lily,Burmese,8.8
Loki,Sphinx,8.9
Lola,Siamese,8.8
Louie,Persian,9.2
Lucky,Sphinx,8.8
Lucy,Siamese,8.6
Lulu,Sphinx,8.1
Maggie,Tabby,8.8
Marley,Siamese,7.8
Midnight,Persian,6.7
Millie,Tabby,8.1
Milo,Burmese,7.9
Mimi,Sphinx,6.3
Minnie,Persian,9.9
Missy,Manx,8.9
Mittens,Manx,6.4
Mochi,Burmese,8.8
Moose,Manx,7.0
Murphy,Siamese,8.7
Nala,Manx,7.4
Olivia,Tabby,7.6
Ollie,Siamese,8.1
Oreo,Sphinx,7.1
Oscar,Burmese,9.3
Peanut,Manx,8.1
Penny,Manx,8.5
Pepper,Sphinx,8.0
Piper,Tabby,8.1
Princess,Burmese,9.4
Pumpkin,Manx,9.3
Remi,Persian,6.4
Remy,Manx,9.5
Riley,Burmese,9.3
Rocky,Tabby,9.8
Romeo,Burmese,7.9
Rosie,Sphinx,8.7
Ruby,Burmese,8.9
Sadie,Sphinx,6.5
Salem,Siamese,9.3
Sam,Burmese,7.8
Sammie,Siamese,7.0
Sammy,Siamese,6.0
Scout,Manx,8.0
Shadow,Siamese,7.8
Simba,Manx,8.3
Sophie,Burmese,7.1
Sunny,Tabby,6.6
Teddy,Sphinx,7.7
Theo,Sphinx,6.5
Thor,Burmese,7.0
Tiger,Siamese,9.0
Tigger,Manx,8.5
Toby,Burmese,9.1
Tucker,Burmese,8.8
Walter,Manx,6.0
Willow,Siamese,8.4
Ziggy,Siamese,7.6
